,date,channel_id,channel_title,title,url
0,2023-02-21,UCxv1CNFCboC_UIB-Un0OP0g,Info Seputar Jambi,KECELAKAAN LALU LINTAS,https://www.youtube.com/watch?v=GAcunrtf6D0
1,2023-02-21,UCBPAoT-gT-7YkbW9EVRP3Yg,dcrez Collection,Kecelakaan Lalu Lintas di Sunter-Pengendara Motor Tewas Menabrak Truk Sampah,https://www.youtube.com/watch?v=M_iZ9M5zH-w
2,2023-02-21,UCTyBFn86372zvxOaJ2Z3jOg,NTMC POLRI,"TEKAN ANGKA KECELAKAAN LALU LINTAS, KAPOLRES BANTUL GELAR KEGIATAN POLICE GOES TO SCHOOL",https://www.youtube.com/watch?v=WwwjPxVIIgA
3,2023-02-21,UComKlg7PJVZvDA610P3uddg,Ilhan Ramadhanu,Tugas presentasi Konsep sistem informasi dengan judul &quot;SISTEM INFORMASI KECELAKAAN LALU LINTAS&quot,https://www.youtube.com/watch?v=iV9OeTFloTg
4,2023-02-21,UC7Od1ptFUyLPqcw6CIzuZLQ,Humaslakarsantri Polsek,PAWAS POLSEK LAKARSANTRI MEMBANTU KORBAN KECELAKAAN LALU LINTAS,https://www.youtube.com/watch?v=ZQ452lMOyZs
5,2023-02-21,UC6IhwpN4eUDl-hK-Ty1GZHw,RESPONDER AMBULANS SURABAYA,KECELAKAAN JL KALIANAK BARAT,https://www.youtube.com/watch?v=dpH3iA8TSWM
6,2023-02-21,UCtFy71EKRVkFkSmRCQAJtLw,Tribun Sulbar Official,"Detik-detik Kecelakaan Lalu Lintas di Mamuju, akibatkan Motor Masuk di Kolong Mobil",https://www.youtube.com/watch?v=Xzk-wcBCAHg
7,2023-02-21,UCnYQy3k_tJ210FfC-s22e5A,Mokhtar_Channel,PATUHI SYARAT LALU LINTAS SUPAYA TIDAK KECELAKAAN BERLAKU#shorts #shortvideo #allahuakbar,https://www.youtube.com/watch?v=NEQjWnwcGDw
8,2023-02-20,UCTyBFn86372zvxOaJ2Z3jOg,NTMC POLRI,DITLANTAS POLDA RIAU BAGI-BAGI SEMBAKO DAN UNDANG KORBAN KECELAKAAN LALU LINTAS,https://www.youtube.com/watch?v=cYv3ID2eOzU
9,2023-02-20,UCPhWauyGmombVZb5VRp4wLA,tribunjabar video,Cerita Saksi tentang Kecelakaan Maut di Purwakarta: Salip Truk hingga Klakson Berkali-kali,https://www.youtube.com/watch?v=dAX4AnxMswc
10,2023-02-20,UCZ3ix6MTbABsrNR9PJTs38w,POLRES PEMALANG,Petugas Patroli dan Bhabinkamtibmas Polsek Petarukan Evakuasi Korban Kecelakaan Lalu Lintas,https://www.youtube.com/watch?v=GN-uMoSQBCw
11,2023-02-20,UCxv1CNFCboC_UIB-Un0OP0g,Info Seputar Jambi,KECELAKAAN LALU LINTAS,https://www.youtube.com/watch?v=3EhZInLmLIY
12,2023-02-20,UClkZYFv6xkLPImWgq7-3voQ,Tribun Papua Barat Official,"Kecelakaan di Purwakarta Libatkan 4 Truk dan Sepeda Motor, Ibu dan Anak Meninggal Dunia",https://www.youtube.com/watch?v=jErfbQjUZEA
13,2023-02-20,UCPhWauyGmombVZb5VRp4wLA,tribunjabar video,"KRONOLOGI KECELAKAAN MAUT DI PURWAKARTA LIBATKAN 4 TRUK 1 SEPEDA MOTOR, IBU DAN ANAK MENINGGAL DUNIA",https://www.youtube.com/watch?v=Hm9TtBgTL_c
14,2023-02-20,UCdygRiDGTM9kjc-7hrrB-7Q,Harian Surya,Kecelakaan Dua Pemotor yang Terjadi di Persimpangan Jalan. Diketahui lokasinya ada di Malang,https://www.youtube.com/watch?v=KU543m9Yj1o
15,2023-02-20,UCeOpw9LsQwyN8hZPuiJCUbA,jatimnowcom,"Kecelakaan Beruntun di Jalur Kediri-Blitar, Seorang Wanita Tewas #shorts #kecelakaan #kediri #blitar",https://www.youtube.com/watch?v=_N-udD9no0s
16,2023-02-20,UCAR0WkRqLBfqi24JhGRg59g,Edytrisna,"Hati hati dengan jalan berlobang, yang bisa mengakibatkan kecelakaan Lalu lintas",https://www.youtube.com/watch?v=OK-8ij60qNA
17,2023-02-20,UCwc8IYFnd_xyxN_nzC0Cl2Q,SURYAMALANG. com,"6 Kendaraan Alami Kecelakaan Beruntun, 1 korban Meninggal Seketika",https://www.youtube.com/watch?v=tbJifT4YkxA
18,2023-02-20,UC06gryP1oTCGEWbNW8pfIRA,TribunJatim Official,"6 Kendaraan Alami Kecelakaan Beruntun, 1 korban Meninggal Seketika",https://www.youtube.com/watch?v=QVwpF6NSN7A
19,2023-02-20,UCdygRiDGTM9kjc-7hrrB-7Q,Harian Surya,"6 Kendaraan Alami Kecelakaan Beruntun, 1 korban Meninggal Seketika",https://www.youtube.com/watch?v=av4fctYTrjg
20,2023-02-20,UCPhWauyGmombVZb5VRp4wLA,tribunjabar video,KECELAKAAN MAUT DI PURWAKARTA LIBATKAN 4 TRUK IBU &amp; ANAK TEWAS DI JALAN INDUSTRI PENGHUBUNG KARAWANG,https://www.youtube.com/watch?v=vR4kCqnxGuc
21,2023-02-20,UC2YFZeHf0hrMaKpdjUAHq5g,Banjarmasin Post News Video,"Viral, Mobil Innova Terbalik di Tol Semarang-Solo, Pengemudi Mengantuk",https://www.youtube.com/watch?v=Wc9qDJPLBCI
22,2023-02-19,UCE6DVbdIKAQdBu024fZCK-A,TribunbatamID,Kecelakaan Bus Pariwisata dan Truk di Tangerang,https://www.youtube.com/watch?v=Iyb4-tb6bU8
23,2023-02-19,UC2YFZeHf0hrMaKpdjUAHq5g,Banjarmasin Post News Video,Evakuasi Unit Ambulance Pasca Kecelakaan di Tapin,https://www.youtube.com/watch?v=f2HuPDungNs
24,2023-02-19,UCAKQIyWXXQNijbRtI4gdp7Q,Indonesiadailynet Official,"Seorang meninggal dunia dalam kecelakaan mobil pintar Tesla di Provinsi Zhejiang, China.",https://www.youtube.com/watch?v=cppi6sZI9qA
25,2023-02-19,UCN44XertGQuQ9ngO0pNR06Q,AYO NONTON BUS,inalillahi. kabar duka untuk busmania. 2 bus Pandawa 87 kecelakaan di tol Cipularang ðŸ˜¥,https://www.youtube.com/watch?v=9sFSfF1H064
26,2023-02-19,UC06gryP1oTCGEWbNW8pfIRA,TribunJatim Official,"Alasan Pelaku buang Wanita Korban Kecelakaan di Depok, Mengaku Tak Punya Uang",https://www.youtube.com/watch?v=Xym4pXldNV4
27,2023-02-19,UCfI9Bk6ZfNXZ2mg3QZoF5Lw,Tribun Jambi,"Kecelakaan Tunggal Libatkan Mobil Tabrak Pembatas Jalan di Kota Medan, Pengemudi Dilarikan Ke RS",https://www.youtube.com/watch?v=ygZrJ64KFho
28,2023-02-19,UCNf47KAYGh2USv8eQhps4cQ,Lintas Jogja,"CEGAH KECELAKAAN, TRUK DILARANG PARKIR DI BAHU JALAN",https://www.youtube.com/watch?v=5s_ILXeAk44
29,2023-02-19,UCSq5rPwdrWbWRXA2DRjKErg,Siboen klintung,"detik detik kecelakaan ðŸ˜°kejadian Wangon Banyumas,korban selamat ,dugaan supir ngantuk",https://www.youtube.com/watch?v=B-yj1D-9yxI
